Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
jAa58N4Jlos,hd2160,0.77639566,77.6,28airport5g,28/09/2022,12:08:14
jAa58N4Jlos,hd2160,0.77639566,77.6,28airport5g,28/09/2022,12:08:15
jAa58N4Jlos,hd2160,0.77639566,77.6,28airport5g,28/09/2022,12:08:16
jAa58N4Jlos,hd2160,0.77639566,77.6,28airport5g,28/09/2022,12:08:17
jAa58N4Jlos,hd2160,0.799922802,80,28airport5g,28/09/2022,12:08:18
jAa58N4Jlos,hd2160,0.799922802,80,28airport5g,28/09/2022,12:08:19
jAa58N4Jlos,hd2160,0.749376209,74.9,28airport5g,28/09/2022,12:08:08
jAa58N4Jlos,hd2160,0.729341378,72.9,28airport5g,28/09/2022,12:08:07
jAa58N4Jlos,hd2160,0.726400485,72.6,28airport5g,28/09/2022,12:08:06
jAa58N4Jlos,hd2160,0.701402898,70.1,28airport5g,28/09/2022,12:07:57
jAa58N4Jlos,hd2160,0.701402898,70.1,28airport5g,28/09/2022,12:07:58
jAa58N4Jlos,hd2160,0.701402898,70.1,28airport5g,28/09/2022,12:07:59
jAa58N4Jlos,hd2160,0.705814237,70.6,28airport5g,28/09/2022,12:08:00
jAa58N4Jlos,hd2160,0.941085649,94.1,28airport5g,28/09/2022,12:08:51
jAa58N4Jlos,hd2160,0.705814237,70.6,28airport5g,28/09/2022,12:08:01
jAa58N4Jlos,hd2160,0.705814237,70.6,28airport5g,28/09/2022,12:08:02
jAa58N4Jlos,hd2160,0.726400485,72.6,28airport5g,28/09/2022,12:08:03
jAa58N4Jlos,hd2160,0.726400485,72.6,28airport5g,28/09/2022,12:08:04
jAa58N4Jlos,hd2160,0.726400485,72.6,28airport5g,28/09/2022,12:08:05
jAa58N4Jlos,hd2160,0.799922802,80,28airport5g,28/09/2022,12:08:20
9jrP7460a4o,hd2160,0.220265338,22,2a19aug,19/08/2022,16:04:43
9jrP7460a4o,hd2160,0.084717438,8.5,2a19aug,19/08/2022,16:04:06
9jrP7460a4o,hd2160,0.101660925,10.2,2a19aug,19/08/2022,16:04:07
9jrP7460a4o,hd2160,0.101660925,10.2,2a19aug,19/08/2022,16:04:08
9jrP7460a4o,hd2160,0.101660925,10.2,2a19aug,19/08/2022,16:04:09
9jrP7460a4o,hd2160,0.101660925,10.2,2a19aug,19/08/2022,16:04:10
9jrP7460a4o,hd2160,0.101660925,10.2,2a19aug,19/08/2022,16:04:11
9jrP7460a4o,hd2160,0.112118234,11.2,2a19aug,19/08/2022,16:04:12
9jrP7460a4o,hd2160,0.112118234,11.2,2a19aug,19/08/2022,16:04:13
9jrP7460a4o,hd2160,0.112118234,11.2,2a19aug,19/08/2022,16:04:14
9jrP7460a4o,hd2160,0.118604413,11.9,2a19aug,19/08/2022,16:04:15
9jrP7460a4o,hd2160,0.079290227,7.9,2a19aug,19/08/2022,16:04:05
9jrP7460a4o,hd2160,0.079290227,7.9,2a19aug,19/08/2022,16:04:04
9jrP7460a4o,hd2160,0.079290227,7.9,2a19aug,19/08/2022,16:04:03
9jrP7460a4o,hd2160,0,0,2a19aug,19/08/2022,16:03:53
9jrP7460a4o,hd2160,0.013041852,1.3,2a19aug,19/08/2022,16:03:54
9jrP7460a4o,hd2160,0.037063879,3.7,2a19aug,19/08/2022,16:03:55
9jrP7460a4o,hd2160,0.047653559,4.8,2a19aug,19/08/2022,16:03:56
9jrP7460a4o,hd2160,0.06777395,6.8,2a19aug,19/08/2022,16:03:57
9jrP7460a4o,hd2160,0.06777395,6.8,2a19aug,19/08/2022,16:03:58
9jrP7460a4o,hd2160,0.06777395,6.8,2a19aug,19/08/2022,16:03:59
